batch_size	lr	frame_length	frame_shift	num_mel_bins	xent	accuracy
64	0.05	31.0	10.0	80	0.14734911684896432	95.1923076923077
64	0.2	10.0	10.0	40	0.15049024101565867	95.1923076923077
64	0.05	25.0	21.0	40	0.15474618162984163	95.2127659574468
64	0.2	25.0	13.0	40	0.13738563411688018	95.2127659574468
64	0.1	45.0	10.0	80	0.1462699722230824	95.2127659574468
64	0.05	25.0	13.0	80	0.14441774215768366	95.23322422258592
64	0.1	47.0	10.0	40	0.1360673889170821	95.23322422258592
64	0.1	11.0	10.0	40	0.14866681555225178	95.23322422258592
64	0.05	25.0	7.0	80	0.1493706861450002	95.25368248772504
64	0.1	30.0	10.0	40	0.14619914560998773	95.25368248772504
64	0.2	47.0	10.0	40	0.13785703668562585	95.25368248772504
64	0.05	9.0	10.0	40	0.13887575726493512	95.27414075286416
64	0.2	35.0	10.0	40	0.14190355366935917	95.27414075286416
64	0.05	21.0	10.0	80	0.1448671521369392	95.27414075286416
64	0.024052026310924575	17.0	9.0	75	0.15027456121896607	95.27414075286416
64	0.1	19.0	10.0	40	0.13959935877253027	95.27414075286416
64	0.2	39.0	10.0	80	0.14620301093346152	95.29459901800328
64	0.2	13.0	10.0	40	0.14794204693920668	95.29459901800328
64	0.2	25.0	17.0	40	0.13588229456332093	95.29459901800328
64	0.05	10.0	10.0	20	0.14000729219896682	95.3150572831424
64	0.1	45.0	10.0	40	0.14084232330711838	95.3150572831424
64	0.1	15.0	10.0	40	0.14078695314260675	95.3150572831424
64	0.27329951182944084	11.0	9.0	67	0.14278110615099518	95.3150572831424
64	0.2	33.0	10.0	80	0.14637112023394092	95.3150572831424
64	0.05	25.0	17.0	40	0.14696084182052052	95.3355155482815
64	0.2	23.0	10.0	80	0.13174412386595374	95.3355155482815
64	0.2	25.0	10.0	80	0.1460859167657403	95.3355155482815
64	0.2	25.0	19.0	40	0.13715320424666763	95.3355155482815
64	0.2	25.0	5.0	40	0.13170583543118114	95.3355155482815
64	0.2	37.0	10.0	40	0.13853583229839608	95.3355155482815
64	0.1	25.0	13.0	80	0.14894047267491523	95.3355155482815
64	0.05	13.0	10.0	40	0.1470679750702545	95.35597381342062
64	0.09071511667339009	5.0	5.0	33	0.1489843728714714	95.35597381342062
64	0.05	47.0	10.0	40	0.13042731761469756	95.35597381342062
64	0.1	25.0	15.0	80	0.14769821644918932	95.35597381342062
64	0.2	21.0	10.0	40	0.14584267934406894	95.35597381342062
64	0.1	41.0	10.0	40	0.1445660383038807	95.35597381342062
64	0.1	43.0	10.0	40	0.1422637076500584	95.37643207855973
64	0.2	25.0	19.0	80	0.133434653298905	95.39689034369886
64	0.05	41.0	10.0	40	0.14024952969519922	95.39689034369886
64	0.2	25.0	10.0	20	0.13364799854838672	95.41734860883797
64	0.05	39.0	10.0	40	0.13227341369744025	95.41734860883797
64	0.05	25.0	10.0	40	0.13700170605595596	95.43780687397708
64	0.05	25.0	11.0	40	0.14105937300627333	95.43780687397708
64	0.05	25.0	15.0	40	0.13391639608768077	95.43780687397708
